user_id,image_paths,user_claim,claim_object,evidence_standard_met,evidence_standard_met_reason,risk_flags,issue_type,object_part,claim_status,claim_status_justification,supporting_image_ids,valid_image,severity
user_001,images/sample/case_001/img_1.jpg,"Customer: Hi, I found new damage on my car after it was parked outside overnight. | Support: Sorry to hear that. Can you describe what changed? | Customer: The back of the car has a dent now. It was not there before. | Support: Did anything else break or is it mostly body damage? | Customer: Mostly the rear bumper area. I attached the photo I took this morning.",car,true,"The image clearly shows the rear of the car with significant damage to the bumper and trunk area, allowing for a full assessment of the claim.",none,dent,rear_bumper,supported,"Image img_1 clearly shows a severely dented trunk lid and a broken rear bumper, which supports the customer's claim of a new dent on the rear of the car.",img_1,true,high
user_002,images/sample/case_002/img_1.jpg;images/sample/case_002/img_2.jpg,"Customer: Parking lot mein meri car ko scrape lag gaya. | Support: Aap kis type ka damage report karna chahte hain? | Customer: Front side par mark aa gaya hai, bumper ke upar. | Support: Light damage hai ya body par scratch? | Customer: Light theek hai, front bumper par scratch hai. Photos upload kar diye hain.",car,false,"The image set contains two different cars, and the damage visible in img_1 is significantly more severe than the claimed 'scratch'.",wrong_object;claim_mismatch,dent,front_bumper,not_enough_information,"img_1 shows a front bumper with a significant dent, a broken part, and a scrape, which is more severe than the claimed 'scratch'. img_2 shows a different, undamaged car, creating an object mismatch.",none,true,high
user_004,images/sample/case_003/img_1.jpg;images/sample/case_003/img_2.jpg,"Customer: I am opening a claim for my windshield. | Support: What happened? | Customer: A small stone hit it while I was driving and now there is a crack spreading from that spot. | Support: Is the car otherwise okay? | Customer: Yes, this is only about the front glass. I added the pictures I have.",car,false,The submitted images contradict each other regarding the presence of damage on the claimed windshield.,claim_mismatch;damage_not_visible;possible_manipulation,crack,windshield,not_enough_information,"Image img_1 clearly shows a severely cracked and shattered windshield. However, image img_2, also depicting a car's windshield, shows it to be completely intact and undamaged. These contradictory images prevent a conclusive assessment of the claim.",none,true,unknown
user_007,images/sample/case_004/img_1.jpg,"Customer: Someone clipped my car while it was parked. | Support: What part was hit? | Customer: The side mirror got damaged. It is not sitting the way it should anymore. | Support: Was there any damage to the door too? | Customer: I did not notice anything else major, just the mirror.",car,true,The image clearly shows the claimed damage to the car's side mirror.,none,glass_shatter,side_mirror,supported,"Image img_1 clearly shows the car's side mirror with shattered glass and the mirror assembly appearing dislodged from its base, consistent with the claim that it is 'not sitting the way it should anymore'.",img_1,true,high
user_005,images/sample/case_005/img_1.jpg;images/sample/case_005/img_2.jpg,"Customer: I want to file this as bumper damage. | Support: Can you tell me what happened? | Customer: The car was tapped from behind and now the back looks damaged. | Support: Are you asking for review of the rear side? | Customer: Yes, the back bumper. It looks pretty bad to me, so I uploaded both photos.",car,true,"Image img_2 clearly shows the rear bumper, allowing for assessment of the claimed damage.",user_history_risk;claim_mismatch,none,rear_bumper,contradicted,"Image img_2 shows the rear bumper clearly with no visible damage. Image img_1 shows a dent, but it is on the rear fender/quarter panel, not the bumper.",img_2,true,none
user_006,images/sample/case_006/img_1.jpg,"Customer: Hi, I am not fully sure how to explain this because I noticed it only after reaching home. | Support: No problem, please tell me what happened. | Customer: There was a small bump earlier, nothing major, and I first thought everything was fine. Later I looked at the car again because my family member said the front area looked different. | Support: Are you reporting a general vehicle issue or a specific damaged part? | Customer: I was confused at first because I checked the side and the front and walked around the car a few times. I do not want to claim the wrong thing. | Support: That is okay. What part do you want reviewed? | Customer: After checking again, I think the issue is with the headlight. It looks like the headlight may be cracked, so please review that part.",car,false,The image does not clearly show the claimed headlight or any potential damage to it. The front of the car is obscured by glare and angle.,low_light_or_glare;wrong_angle;damage_not_visible,unknown,headlight,not_enough_information,"Image img_1 is taken from an angle that does not clearly show the car's headlight. The bright sun glare further obstructs the view, making it impossible to assess if there is a crack as claimed.",none,false,unknown
user_003,images/sample/case_007/img_1.jpg;images/sample/case_007/img_2.jpg,"Customer: There is a dent along the side of my car. | Support: When did you notice it? | Customer: This morning, after the car had been parked near the gate. | Support: Is it near the front or back? | Customer: It is on the door panel area. I attached two photos from different distances.",car,true,"Image img_2 clearly shows a dent and scratches on the car door, fulfilling the evidence requirements for a dent claim.",blurry_image,dent,door,supported,"Image img_2 clearly shows a significant dent and multiple scratches on the side door panel of the car, directly supporting the user's claim.",img_2,true,medium
user_008,images/sample/case_008/img_1.jpg,"Customer: I picked up my car after service and noticed a mark on the hood. | Support: What kind of mark is it? | Customer: It looks like a scratch across the top panel. | Support: Do you think it happened during service? | Customer: Yes, that is why I am asking for review. The photo is attached.",car,false,"The submitted image is a watermarked stock photo showing a severely damaged car, which is inconsistent with a claim of a simple scratch on a car just picked up from service.",non_original_image;claim_mismatch;user_history_risk;damage_not_visible,broken_part,hood,contradicted,"The image (img_1) shows a severely damaged, possibly wrecked, car with its hood open and extensive damage to the front body and engine area, covered in dirt. This contradicts the claim of a simple scratch on the hood. The image also contains watermarks.",none,false,high
user_009,images/sample/case_009/img_1.jpg,"Customer: My laptop fell from the table yesterday. | Support: Is it turning on? | Customer: It turns on, but the display glass has a crack now. | Support: Are you reporting the screen only or the whole laptop? | Customer: The screen is the issue. I attached a photo of it open.",laptop,true,"The image clearly shows the laptop screen with extensive damage, directly addressing the claim.",none,glass_shatter,screen,supported,"Image img_1 clearly shows the laptop screen with severe cracking and shattering, consistent with the user's claim of a cracked display glass.",img_1,true,high
user_010,images/sample/case_010/img_1.jpg;images/sample/case_010/img_2.jpg,"Customer: The laptop no longer opens smoothly. | Support: What seems to be wrong mechanically? | Customer: The hinge area has broken and the screen wobbles. | Support: Did this happen after a drop? | Customer: Yes, it slipped from the sofa. I uploaded photos from the outside and side.",laptop,true,"Image img_1 clearly shows a broken laptop hinge, meeting the requirement for inspecting the claimed part.",non_original_image;claim_mismatch,broken_part,hinge,supported,"Image img_1 clearly shows the laptop hinge area is broken, with internal components exposed, supporting the claim. Image img_2 shows a different laptop or a laptop without the claimed damage.",img_1,true,high
user_011,images/sample/case_011/img_1.jpg,"Customer: I spilled water near my laptop while working. | Support: What part was affected? | Customer: It went over the keys and left a stain. Some keys feel sticky now. | Support: Is the display damaged too? | Customer: No, this is about the keyboard area only.",laptop,true,"The image clearly shows water spilled on the laptop keyboard, which is the claimed affected part.",none,water_damage,keyboard,supported,"Image img_1 clearly shows a significant amount of water pooled on and around the laptop keyboard, supporting the claim of a water spill.",img_1,true,high
user_012,images/sample/case_012/img_1.jpg;images/sample/case_012/img_2.jpg,"Customer: My laptop bag fell from a chair and hit the floor. | Support: What damage did you notice? | Customer: One corner of the laptop has a dent now. | Support: Does the laptop still work? | Customer: It works, but the outer corner is damaged. I added two photos.",laptop,true,The laptop and the claimed dent on its corner are clearly visible in the submitted images.,none,dent,corner,supported,"Image img_2 clearly shows a dent on the corner of the laptop, supporting the user's claim.",img_2,true,medium
user_018,images/sample/case_013/img_1.jpg,"Customer: I am not sure if this should be a repair claim or a replacement claim, so I wanted to ask first. | Support: We can help. What device is this about? | Customer: It is my laptop. I carry it every day, and yesterday my bag got pressed between two seats during travel. At first I thought the laptop was okay because it still opened. | Support: What changed after that? | Customer: Later, while using it, I noticed marks on the display area. I restarted it twice because I thought it might just be something on the screen, but it still bothered me. | Support: Are you reporting keyboard, hinge, body, or screen damage? | Customer: Not the keyboard or hinge. The issue I want checked is the screen. It looks shattered to me, so I am submitting this as screen damage.",laptop,true,The image clearly shows the claimed damage on the claimed part.,none,glass_shatter,screen,supported,"Image img_1 clearly shows a laptop screen with a central impact point and radiating cracks, consistent with a shattered screen and supporting the user's claim of screen damage.",img_1,true,high
user_020,images/sample/case_014/img_1.jpg,Customer: The laptop trackpad has stopped working properly. | Support: Did anything happen before it stopped working? | Customer: The front area hit the desk edge when I moved it. | Support: Are you reporting internal function or physical damage? | Customer: Physical damage around the trackpad area. I attached the photo for review.,laptop,true,"The image clearly shows the laptop trackpad, allowing for inspection of the claimed damage.",user_history_risk;text_instruction_present,scratch,trackpad,supported,"Faint scratches are visible on the trackpad surface within the circled area in img_1, supporting the claim of physical damage.",img_1,true,low
user_015,images/sample/case_015/img_1.jpg,Customer: My delivery box arrived damaged. | Support: What part of the package was affected? | Customer: One corner was crushed in when I received it. | Support: Is the item inside part of this claim? | Customer: Not right now. I am reporting the package corner damage.,package,true,The image clearly shows the claimed crushed corner of the package.,none,crushed_packaging,package_corner,supported,"Image img_1 clearly shows the top right corner of the package is crushed and creased, consistent with the claim.",img_1,true,medium
user_030,images/sample/case_016/img_1.jpg;images/sample/case_016/img_2.jpg,"Customer: Package receive hua toh opened jaisa lag raha tha. | Support: Tape broken tha ya box crush hua tha? | Customer: Seal wali side phati hui thi, jaise parcel khola gaya ho. | Support: Kya andar ka item missing hai? | Customer: Abhi item missing claim nahi kar raha, sirf torn packaging review karwana hai.",package,true,"Image img_1 clearly shows torn packaging and a damaged seal, meeting the requirements for assessing packaging damage.",wrong_object;non_original_image;claim_mismatch,torn_packaging,seal,supported,"Image img_1 clearly shows significant tearing on the sealed side of the package, consistent with the claim of torn packaging. Image img_2 shows an undamaged package, which contradicts the claim.",img_1,true,medium
user_031,images/sample/case_017/img_1.jpg,"Customer: I received a package that looks water damaged. | Support: Was the item inside wet too? | Customer: I have not opened everything yet, but the outside has a wet-looking stain. | Support: So the claim is about the package condition? | Customer: Yes, the package surface looked damaged when it arrived.",package,true,"The image clearly shows water damage on the package exterior, directly supporting the claim.",user_history_risk,water_damage,box,supported,"Image img_1 clearly shows significant dark, wet-looking stains and softened, slightly torn cardboard on the side of the package, consistent with water damage.",img_1,true,high
user_032,images/sample/case_018/img_1.jpg;images/sample/case_018/img_2.jpg,Customer: The item I ordered was not inside the box. | Support: Did the package look opened when you received it? | Customer: I checked it after delivery and could not find the product inside. | Support: What are you asking us to verify? | Customer: Please verify that the contents are missing from the package.,package,false,"Image 1 shows packing material inside the box, but it is not possible to verify the absence of the claimed item. Image 2 shows the exterior of a sealed package and is not relevant to missing contents.",manual_review_required;damage_not_visible,missing_part,contents,not_enough_information,"Image 1 shows a box filled with packing material, but it does not clearly show the absence of the specific claimed item. Image 2 shows the exterior of a sealed package, which is not relevant to the claim of missing contents.",none,true,unknown
user_033,images/sample/case_019/img_1.jpg,Customer: The shipping box arrived in bad condition. | Support: What kind of condition issue are you reporting? | Customer: It looked badly crushed when it was delivered. | Support: Is the claim about the outside box or the product inside? | Customer: The outside box. I want the crushed box reviewed.,package,false,"The image shows a metal can, not the claimed shipping box.",wrong_object;claim_mismatch;user_history_risk,dent,item,contradicted,"The image (img_1) displays a dented metal can, not the crushed shipping box as claimed by the user.",none,true,medium
user_034,images/sample/case_020/img_1.jpg;images/sample/case_020/img_2.jpg,Customer: My delivery box arrived opened. | Support: Was the package crushed or was the seal affected? | Customer: The seal area looked torn when I received it. | Support: Are you asking us to review the package condition or the item inside? | Customer: The package condition. I want the torn-open package reviewed.,package,true,"Image img_1 clearly shows a torn seal on the package, and image img_2 clearly shows an intact package.",text_instruction_present;claim_mismatch;user_history_risk,unknown,unknown,not_enough_information,"Image img_1 clearly shows a torn seal on the package, supporting the claim. However, image img_2 shows an entirely intact package with no visible damage to the seal, directly contradicting the claim. The conflicting visual evidence prevents a definitive conclusion.",none,true,unknown
